Category,Month,Value of Internet Payments Made,Number of Internet Payments Made,Value of IVR Payments Made,Number of IVR Payments Made,Value of Browser Payments Made,Number of Browser Payments Made
Leeds Card,Apr-16,,,,,,
Leodis,Apr-16,277.54,10,,,,
Highways,Apr-16,,,,,"27,569.60",304
City & Environmental Services,Apr-16,341,3,,,"23,977.00",379
School Meals,Apr-16,"48,600.91","1,308",,,-0.54,1
Entertainment Licences,Apr-16,"5,558.50",180,,,"15,566.50",146
Nurseries,Apr-16,"1,25,516.99",568,,,,
Blue Badge,Apr-16,,,,,"6,825.00",704
EAS,Apr-16,,,,,"11,409.25",13
Home Ownership,Apr-16,,,,,607.68,6
Registrars,Apr-16,,,,,"87,669.00","1,717"
Planning,Apr-16,,,,,"1,03,032.24",390
Property Maintenance,Apr-16,,,,,,
Housing Repairs,Apr-16,,,,,80,1
Electoral & Local Land Charges,Apr-16,,,,,212.2,3
Fleet Services,Apr-16,,,,,,
Museums,Apr-16,,,,,"1,980.00",4
Parks and Countryside,Apr-16,,,,,625,2
Children's Services,Apr-16,,,,,,
Housing Rent,Apr-16,"6,19,602.93","4,417","5,49,551.20","3,658","8,00,825.73","4,758"
Mortgages,Apr-16,143,1,283.3,2,0,0
Sundry Debtors,Apr-16,"1,55,413.05",572,"1,89,397.25",789,"94,496.92",426
Commercial/Market Rents,Apr-16,"33,984.18",69,"1,18,097.09",222,380.5,3
Council Tax,Apr-16,"10,87,128.37","9,276","10,80,765.05","8,600","3,70,399.71","3,014"
Business Rates,Apr-16,"39,317.10",71,"77,253.69",162,"93,052.83",141
Housing Benefits Overpayments,Apr-16,"19,537.86",228,"28,736.20",443,"35,489.43",276
Parking Fines,Apr-16,"1,16,326.00","3,190","1,32,757.70","3,518","9,829.58",350
Leeds Card,May-16,,,,,,
Leodis,May-16,591.03,18,,,,
Highways,May-16,,,,,"16,372.91",262
City & Environmental Services,May-16,437,4,,,"23,713.00",394
School Meals,May-16,"33,218.27","1,259",,,,
Entertainment Licences,May-16,"4,540.50",143,,,"12,740.00",154
Nurseries,May-16,"1,17,126.41",565,,,,
Blue Badge,May-16,,,,,"7,975.32",822
EAS,May-16,,,,,"11,255.32",5
Home Ownership,May-16,,,,,576,6
Registrars,May-16,,,,,"81,270.50","1,553"
Planning,May-16,,,,,"1,12,325.07",451
Property Maintenance,May-16,,,,,,
Housing Repairs & Keys,May-16,,,,,113.08,11
Electoral & Local Land Charges,May-16,,,,,47,2
Fleet Services,May-16,,,,,,
Museums,May-16,,,,,92.4,4
Parks and Countryside,May-16,,,,,,
Children's Services,May-16,,,,,,
Housing Rent,May-16,"6,65,775.53","4,615","5,91,850.14","3,804","7,22,250.06","4,335"
Mortgages,May-16,143,1,278.3,3,0,0
Sundry Debtors,May-16,"1,33,365.67",582,"1,96,842.81",801,"1,34,579.26",437
Commercial/Market Rents,May-16,"32,594.37",65,"1,25,854.82",220,100,1
Council Tax,May-16,"10,38,976.65","9,802","10,38,854.97","9,186","4,21,852.14","3,317"
