Date,Open,High,Low,Close,Volume
01/31/2024,"176.20","178.30","174.34","174.36","11,521,820"
01/30/2024,"172.83","176.76","172.83","176.27","10,822,080"
01/29/2024,"172.24","172.84","171.30","172.73","6,971,192"
01/26/2024,"172.61","173.06","171.78","172.28","7,442,955"
01/25/2024,"172.31","172.99","170.91","172.94","8,873,481"
01/24/2024,"169.36","171.01","168.86","170.50","9,967,060"
01/23/2024,"169.67","169.75","168.44","168.99","8,360,829"
01/22/2024,"170.46","171.98","169.71","170.11","12,837,510"
01/19/2024,"167.55","170.57","167.08","170.31","13,115,660"
01/18/2024,"167.12","167.53","165.24","167.42","9,382,255"
01/17/2024,"167.34","169.07","166.49","167.09","11,107,470"
01/16/2024,"164.87","168.09","164.30","167.99","17,206,420"
01/12/2024,"173.80","176.31","168.90","169.05","19,436,500"
01/11/2024,"170.33","170.36","168.64","170.30","11,919,500"
01/10/2024,"170.00","171.08","168.95","171.02","9,670,218"
01/09/2024,"171.62","171.79","170.10","170.66","9,923,630"
01/08/2024,"172.02","172.36","169.49","172.02","11,229,920"
01/05/2024,"171.47","173.38","171.47","172.27","10,066,030"
01/04/2024,"170.64","173.35","170.54","171.41","11,972,550"
01/03/2024,"171.86","172.04","170.37","171.33","9,852,335"
01/02/2024,"169.09","172.17","168.91","172.08","9,977,424"
